10000055	Abingdon and Witney College 	Q01 	92%
10000055	Abingdon and Witney College 	Q02 	91%
10000055	Abingdon and Witney College 	Q03 	87%
10000055	Abingdon and Witney College 	Q04 	90%
10000055	Abingdon and Witney College 	Q05 	81%
10000055	Abingdon and Witney College 	Q06 	84%
10000055	Abingdon and Witney College 	Q07 	54%
10000055	Abingdon and Witney College 	Q08 	80%
10000055	Abingdon and Witney College 	Q09 	73%
10000055	Abingdon and Witney College 	Q10 	85%
10000055	Abingdon and Witney College 	Q11 	85%
10000055	Abingdon and Witney College 	Q12 	80%
10000055	Abingdon and Witney College 	Q13 	77%
10000055	Abingdon and Witney College 	Q14 	62%
10000055	Abingdon and Witney College 	Q15 	63%
10000055	Abingdon and Witney College 	Q16 	85%
10000055	Abingdon and Witney College 	Q17 	89%
10000055	Abingdon and Witney College 	Q18 	79%
10000055	Abingdon and Witney College 	Q19 	81%
10000055	Abingdon and Witney College 	Q20 	83%
10000055	Abingdon and Witney College 	Q21 	84%
10000055	Abingdon and Witney College 	Q22 	86%
10000055	Abingdon and Witney College 	Q24 	70%
10000093	Accrington and Rossendale College 	Q01 	94%
10000093	Accrington and Rossendale College 	Q02 	86%
10000093	Accrington and Rossendale College 	Q03 	88%
10000093	Accrington and Rossendale College 	Q04 	82%
10000093	Accrington and Rossendale College 	Q05 	78%
10000093	Accrington and Rossendale College 	Q06 	85%
10000093	Accrington and Rossendale College 	Q07 	73%
10000093	Accrington and Rossendale College 	Q08 	84%
10000093	Accrington and Rossendale College 	Q09 	81%
10000093	Accrington and Rossendale College 	Q10 	89%
10000093	Accrington and Rossendale College 	Q11 	89%
10000093	Accrington and Rossendale College 	Q12 	85%
10000093	Accrington and Rossendale College 	Q13 	86%
10000093	Accrington and Rossendale College 	Q14 	77%
10000093	Accrington and Rossendale College 	Q15 	73%
10000093	Accrington and Rossendale College 	Q16 	60%
10000093	Accrington and Rossendale College 	Q17 	85%
10000093	Accrington and Rossendale College 	Q18 	70%
10000093	Accrington and Rossendale College 	Q19 	81%
10000093	Accrington and Rossendale College 	Q20 	88%
10000093	Accrington and Rossendale College 	Q21 	84%
10000093	Accrington and Rossendale College 	Q22 	86%
10000093	Accrington and Rossendale College 	Q24 	61%
10000275	Amersham and Wycombe College 	Q01 	76%
10000275	Amersham and Wycombe College 	Q02 	74%
10000275	Amersham and Wycombe College 	Q03 	89%
10000275	Amersham and Wycombe College 	Q04 	74%
10000275	Amersham and Wycombe College 	Q05 	34%
10000275	Amersham and Wycombe College 	Q06 	58%
10000275	Amersham and Wycombe College 	Q07 	19%
10000275	Amersham and Wycombe College 	Q08 	32%
10000275	Amersham and Wycombe College 	Q09 	34%
10000275	Amersham and Wycombe College 	Q10 	65%
10000275	Amersham and Wycombe College 	Q11 	68%
10000275	Amersham and Wycombe College 	Q12 	76%
10000275	Amersham and Wycombe College 	Q13 	66%
10000275	Amersham and Wycombe College 	Q14 	50%
10000275	Amersham and Wycombe College 	Q15 	26%
10000275	Amersham and Wycombe College 	Q16 	43%
10000275	Amersham and Wycombe College 	Q17 	79%
10000275	Amersham and Wycombe College 	Q18 	55%
10000275	Amersham and Wycombe College 	Q19 	76%
10000275	Amersham and Wycombe College 	Q20 	84%
10000275	Amersham and Wycombe College 	Q21 	66%
10000275	Amersham and Wycombe College 	Q22 	63%
10000275	Amersham and Wycombe College 	Q24 	59%
10000291	Anglia Ruskin University 	Q01 	87%
10000291	Anglia Ruskin University 	Q02 	81%
10000291	Anglia Ruskin University 	Q03 	86%
10000291	Anglia Ruskin University 	Q04 	81%
10000291	Anglia Ruskin University 	Q05 	77%
10000291	Anglia Ruskin University 	Q06 	70%
10000291	Anglia Ruskin University 	Q07 	70%
10000291	Anglia Ruskin University 	Q08 	72%
10000291	Anglia Ruskin University 	Q09 	63%
10000291	Anglia Ruskin University 	Q10 	75%
10000291	Anglia Ruskin University 	Q11 	81%
10000291	Anglia Ruskin University 	Q12 	73%
10000291	Anglia Ruskin University 	Q13 	76%
10000291	Anglia Ruskin University 	Q14 	72%
10000291	Anglia Ruskin University 	Q15 	69%
10000291	Anglia Ruskin University 	Q16 	85%
10000291	Anglia Ruskin University 	Q17 	89%
10000291	Anglia Ruskin University 	Q18 	81%
10000291	Anglia Ruskin University 	Q19 	79%
10000291	Anglia Ruskin University 	Q20 	83%
10000291	Anglia Ruskin University 	Q21 	80%
10000291	Anglia Ruskin University 	Q22 	79%
10000291	Anglia Ruskin University 	Q24 	64%
10000291	Anglia Ruskin University 	NHS1 	67%
10000291	Anglia Ruskin University 	NHS2 	86%
10000291	Anglia Ruskin University 	NHS3 	80%
10000291	Anglia Ruskin University 	NHS4 	85%
10000291	Anglia Ruskin University 	NHS5 	88%
10000291	Anglia Ruskin University 	NHS6 	78%
10000385	Arts University Bournemouth 	Q01 	91%
10000385	Arts University Bournemouth 	Q02 	89%
10000385	Arts University Bournemouth 	Q03 	92%
10000385	Arts University Bournemouth 	Q04 	86%
10000385	Arts University Bournemouth 	Q05 	83%
10000385	Arts University Bournemouth 	Q06 	80%
10000385	Arts University Bournemouth 	Q07 	74%
10000385	Arts University Bournemouth 	Q08 	75%
10000385	Arts University Bournemouth 	Q09 	72%
10000385	Arts University Bournemouth 	Q10 	86%
10000385	Arts University Bournemouth 	Q11 	88%
10000385	Arts University Bournemouth 	Q12 	85%
10000385	Arts University Bournemouth 	Q13 	74%
10000385	Arts University Bournemouth 	Q14 	75%
10000385	Arts University Bournemouth 	Q15 	71%
10000385	Arts University Bournemouth 	Q16 	91%
10000385	Arts University Bournemouth 	Q17 	91%
10000385	Arts University Bournemouth 	Q18 	82%
10000385	Arts University Bournemouth 	Q19 	82%
10000385	Arts University Bournemouth 	Q20 	86%
10000385	Arts University Bournemouth 	Q21 	85%
10000385	Arts University Bournemouth 	Q22 	87%
10000385	Arts University Bournemouth 	Q24 	68%
10000409	Ashton-Under-Lyne Sixth Form College 	Q01 	97%
10000409	Ashton-Under-Lyne Sixth Form College 	Q02 	97%
10000409	Ashton-Under-Lyne Sixth Form College 	Q03 	100%
10000409	Ashton-Under-Lyne Sixth Form College 	Q04 	93%
10000409	Ashton-Under-Lyne Sixth Form College 	Q05 	90%
10000409	Ashton-Under-Lyne Sixth Form College 	Q06 	97%
10000409	Ashton-Under-Lyne Sixth Form College 	Q07 	83%
10000409	Ashton-Under-Lyne Sixth Form College 	Q08 	100%
10000409	Ashton-Under-Lyne Sixth Form College 	Q09 	83%
10000409	Ashton-Under-Lyne Sixth Form College 	Q10 	90%
10000409	Ashton-Under-Lyne Sixth Form College 	Q11 	90%
10000409	Ashton-Under-Lyne Sixth Form College 	Q12 	90%
10000409	Ashton-Under-Lyne Sixth Form College 	Q13 	97%
10000409	Ashton-Under-Lyne Sixth Form College 	Q14 	90%
10000409	Ashton-Under-Lyne Sixth Form College 	Q15 	90%
10000409	Ashton-Under-Lyne Sixth Form College 	Q16 	83%
10000409	Ashton-Under-Lyne Sixth Form College 	Q17 	90%
10000409	Ashton-Under-Lyne Sixth Form College 	Q18 	92%
10000409	Ashton-Under-Lyne Sixth Form College 	Q19 	97%
10000409	Ashton-Under-Lyne Sixth Form College 	Q20 	97%
10000409	Ashton-Under-Lyne Sixth Form College 	Q21 	93%
10000409	Ashton-Under-Lyne Sixth Form College 	Q22 	100%
10000409	Ashton-Under-Lyne Sixth Form College 	Q24 	55%
10000415	Askham Bryan College 	Q01 	90%
10000415	Askham Bryan College 	Q02 	83%
10000415	Askham Bryan College 	Q03 	83%
10000415	Askham Bryan College 	Q04 	67%
10000415	Askham Bryan College 	Q05 	78%
10000415	Askham Bryan College 	Q06 	73%
10000415	Askham Bryan College 	Q07 	60%
10000415	Askham Bryan College 	Q08 	77%
10000415	Askham Bryan College 	Q09 	67%
10000415	Askham Bryan College 	Q10 	78%
10000415	Askham Bryan College 	Q11 	81%
10000415	Askham Bryan College 	Q12 	71%
10000415	Askham Bryan College 	Q13 	66%
10000415	Askham Bryan College 	Q14 	56%
10000415	Askham Bryan College 	Q15 	49%
10000415	Askham Bryan College 	Q16 	66%
10000415	Askham Bryan College 	Q17 	52%
10000415	Askham Bryan College 	Q18 	56%
10000415	Askham Bryan College 	Q19 	67%
10000415	Askham Bryan College 	Q20 	72%
10000415	Askham Bryan College 	Q21 	70%
10000415	Askham Bryan College 	Q22 	71%
10000415	Askham Bryan College 	Q24 	50%
10000473	Aylesbury College 	Q01 	87%
10000473	Aylesbury College 	Q02 	93%
10000473	Aylesbury College 	Q03 	91%
10000473	Aylesbury College 	Q04 	93%
10000473	Aylesbury College 	Q05 	69%
10000473	Aylesbury College 	Q06 	67%
10000473	Aylesbury College 	Q07 	69%
10000473	Aylesbury College 	Q08 	84%
10000473	Aylesbury College 	Q09 	76%
10000473	Aylesbury College 	Q10 	73%
10000473	Aylesbury College 	Q11 	86%
10000473	Aylesbury College 	Q12 	79%
10000473	Aylesbury College 	Q13 	67%
10000473	Aylesbury College 	Q14 	55%
10000473	Aylesbury College 	Q15 	60%
10000473	Aylesbury College 	Q16 	53%
10000473	Aylesbury College 	Q17 	59%
10000473	Aylesbury College 	Q18 	51%
10000473	Aylesbury College 	Q19 	86%
10000473	Aylesbury College 	Q20 	84%
10000473	Aylesbury College 	Q21 	78%
10000473	Aylesbury College 	Q22 	82%
10000473	Aylesbury College 	Q24 	47%
10000528	Barking and Dagenham College 	Q01 	91%
10000528	Barking and Dagenham College 	Q02 	97%
10000528	Barking and Dagenham College 	Q03 	88%
10000528	Barking and Dagenham College 	Q04 	94%
10000528	Barking and Dagenham College 	Q05 	94%
10000528	Barking and Dagenham College 	Q06 	94%
10000528	Barking and Dagenham College 	Q07 	88%
10000528	Barking and Dagenham College 	Q08 	91%
10000528	Barking and Dagenham College 	Q09 	94%
10000528	Barking and Dagenham College 	Q10 	85%
10000528	Barking and Dagenham College 	Q11 	79%
10000528	Barking and Dagenham College 	Q12 	88%
10000528	Barking and Dagenham College 	Q13 	85%
10000528	Barking and Dagenham College 	Q14 	91%
10000528	Barking and Dagenham College 	Q15 	88%
10000528	Barking and Dagenham College 	Q16 	76%
10000528	Barking and Dagenham College 	Q17 	85%
10000528	Barking and Dagenham College 	Q18 	74%
10000528	Barking and Dagenham College 	Q19 	88%
10000528	Barking and Dagenham College 	Q20 	88%
10000528	Barking and Dagenham College 	Q21 	85%
10000528	Barking and Dagenham College 	Q22 	91%
10000528	Barking and Dagenham College 	Q24 	93%
10000534	Barnfield College 	Q01 	82%
10000534	Barnfield College 	Q02 	75%
10000534	Barnfield College 	Q03 	79%
10000534	Barnfield College 	Q04 	80%
10000534	Barnfield College 	Q05 	77%
10000534	Barnfield College 	Q06 	74%
10000534	Barnfield College 	Q07 	63%
10000534	Barnfield College 	Q08 	74%
10000534	Barnfield College 	Q09 	73%
10000534	Barnfield College 	Q10 	79%
10000534	Barnfield College 	Q11 	77%
10000534	Barnfield College 	Q12 	77%
10000534	Barnfield College 	Q13 	79%
10000534	Barnfield College 	Q14 	64%
10000534	Barnfield College 	Q15 	60%
10000534	Barnfield College 	Q16 	70%
10000534	Barnfield College 	Q17 	79%
10000534	Barnfield College 	Q18 	67%
10000534	Barnfield College 	Q19 	77%
10000534	Barnfield College 	Q20 	81%
10000534	Barnfield College 	Q21 	78%
10000534	Barnfield College 	Q22 	74%
10000534	Barnfield College 	Q24 	70%
10000571	Bath Spa University 	Q01 	91%
10000571	Bath Spa University 	Q02 	90%
10000571	Bath Spa University 	Q03 	92%
10000571	Bath Spa University 	Q04 	85%
10000571	Bath Spa University 	Q05 	75%
10000571	Bath Spa University 	Q06 	76%
10000571	Bath Spa University 	Q07 	69%
10000571	Bath Spa University 	Q08 	78%
10000571	Bath Spa University 	Q09 	71%
10000571	Bath Spa University 	Q10 	80%
10000571	Bath Spa University 	Q11 	84%
10000571	Bath Spa University 	Q12 	77%
10000571	Bath Spa University 	Q13 	83%
10000571	Bath Spa University 	Q14 	76%
10000571	Bath Spa University 	Q15 	73%
10000571	Bath Spa University 	Q16 	82%
10000571	Bath Spa University 	Q17 	90%
10000571	Bath Spa University 	Q18 	78%
10000571	Bath Spa University 	Q19 	81%
10000571	Bath Spa University 	Q20 	86%
10000571	Bath Spa University 	Q21 	81%
10000571	Bath Spa University 	Q22 	87%
10000571	Bath Spa University 	Q24 	56%
10000610	Bedford College 	Q01 	89%
10000610	Bedford College 	Q02 	86%
10000610	Bedford College 	Q03 	91%
10000610	Bedford College 	Q04 	85%
10000610	Bedford College 	Q05 	81%
10000610	Bedford College 	Q06 	88%
10000610	Bedford College 	Q07 	75%
10000610	Bedford College 	Q08 	85%
10000610	Bedford College 	Q09 	84%
10000610	Bedford College 	Q10 	80%
10000610	Bedford College 	Q11 	88%
10000610	Bedford College 	Q12 	79%
10000610	Bedford College 	Q13 	82%
10000610	Bedford College 	Q14 	73%
10000610	Bedford College 	Q15 	73%
10000610	Bedford College 	Q16 	81%
10000610	Bedford College 	Q17 	92%
10000610	Bedford College 	Q18 	75%
10000610	Bedford College 	Q19 	83%
10000610	Bedford College 	Q20 	84%
10000610	Bedford College 	Q21 	81%
10000610	Bedford College 	Q22 	82%
10000610	Bedford College 	Q24 	68%
10000654	Berkshire College of Agriculture 	Q01 	84%
10000654	Berkshire College of Agriculture 	Q02 	84%
10000654	Berkshire College of Agriculture 	Q03 	92%
10000654	Berkshire College of Agriculture 	Q04 	84%
10000654	Berkshire College of Agriculture 	Q05 	60%
10000654	Berkshire College of Agriculture 	Q06 	76%
10000654	Berkshire College of Agriculture 	Q07 	48%
10000654	Berkshire College of Agriculture 	Q08 	92%
10000654	Berkshire College of Agriculture 	Q09 	72%
10000654	Berkshire College of Agriculture 	Q10 	80%
10000654	Berkshire College of Agriculture 	Q11 	68%
10000654	Berkshire College of Agriculture 	Q12 	72%
10000654	Berkshire College of Agriculture 	Q13 	84%
